Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
1,Abhyudaya Co-Operative Bank Ltd.,6,315.0485,1,January,2024,Internet Banking
2,Ahmednagar Merchants Co-Op Bank Ltd.,23534,4122400.758,39,January,2024,Internet Banking
3,Airtel Payments Bank,18022,135825.7405,223,January,2024,Internet Banking
4,Andhra Pradesh Grameena Vikas Bank ,1372,88230.8277,836,January,2024,Internet Banking
5,AU Small Finance Bank Ltd.,2578528,228993115.9,61928,January,2024,Internet Banking
6,Australia And New Zealand Banking Group Limited,31217,148986641.1,57,January,2024,Internet Banking
7,Axis Bank,5084003,475271231.6,1406553,January,2024,Internet Banking
8,Bandhan Bank,301565,51358518.24,64325,January,2024,Internet Banking
9,Bank of America National Association,574723,609362408.8,537,January,2024,Internet Banking
10,Bank of Baroda,3541457,733286799.2,534646,January,2024,Internet Banking
11,Bank of India,2664014,644105295.9,432891,January,2024,Internet Banking
12,Bank of Maharashtra,7537426,276603057.3,172715,January,2024,Internet Banking
13,Barclays Bank PLC,127656,125879991,2067,January,2024,Internet Banking
14,Bassein Catholic Co-Operative Bank Ltd.,74038,6036137.283,20680,January,2024,Internet Banking
15,Bharat Co-Operative Bank (Mumbai) Ltd.,47962,11848671.35,3383,January,2024,Internet Banking
16,BNP Paribas,417205,381746944.3,425,January,2024,Internet Banking
17,Canara Bank,3185919,501334583.8,498238,January,2024,Internet Banking
18,Capital Small Finance Bank ,10658,2297289.494,593,January,2024,Internet Banking
19,Central Bank of India,8838249,238329954.4,250164,January,2024,Internet Banking
20,City Union Bank,691605,81525226.52,93504,January,2024,Internet Banking
21,Credit Agricole Corporate & Investment Bank,49887,24784240.35,161,January,2024,Internet Banking
22,CSB Bank Ltd.,96239,4470038.715,51714,January,2024,Internet Banking
23,DBS Bank India Limited,438238,245147072.4,58666,January,2024,Internet Banking
24,DCB Bank Limited,149686,22915172.2,18575,January,2024,Internet Banking
25,Deutsche Bank,44670,4146321.027,17599,January,2024,Internet Banking
26,Dhanlaxmi Bank Ltd.,129263,11392765.74,20497,January,2024,Internet Banking
27,Emirates NBD Bank PJSC,362,99557.31694,173,January,2024,Internet Banking
28,Equitas Small Finance Bank,99270,11251503.81,73789,January,2024,Internet Banking
29,ESAF Small Finance Bank,78146,3442844.767,3804,January,2024,Internet Banking
30,Federal Bank,1958450,174448804.4,237001,January,2024,Internet Banking
31,Fincare Small Finance Bank,84924,4834279.029,6507,January,2024,Internet Banking
32,"GP Parsik Sahakari Bank Ltd.,Thane",41551,5264029.345,5226,January,2024,Internet Banking
33,HDFC Bank,64422011,6227823080,27968365,January,2024,Internet Banking
34,HSBC,7834929,4253908524,166044,January,2024,Internet Banking
35,ICICI Bank,102182190,43879671239,4169914,January,2024,Internet Banking
36,IDBI Bank,2496383,612693749.4,547693,January,2024,Internet Banking
37,IDFC First Bank Ltd.,3904860,1176252395,470822,January,2024,Internet Banking
38,Indian Bank,2645835,278748836.6,1206859,January,2024,Internet Banking
39,Indian Overeas Bank,2906641,251774461,350355,January,2024,Internet Banking
40,IndusInd Bank Limited,8545135,507909354.8,574420,January,2024,Internet Banking
41,Industrial And Commercial Bank of China Ltd.,855,742872.4723,35,January,2024,Internet Banking
42,Industrial Bank of Korea,2004,1754157.684,102,January,2024,Internet Banking
43,Jana Small Finance Bank,26744,2138160.837,6076,January,2024,Internet Banking
44,"Janata Sahakari Bank Ltd.,Pune",75238,6620414.45,6928,January,2024,Internet Banking
45,Karnataka Bank,434072,55945661.44,38456,January,2024,Internet Banking
46,Kookmin Bank,323,180819.05,85,January,2024,Internet Banking
47,Kotak Mahindra Bank,14034487,3346479544,2103152,January,2024,Internet Banking
48,"Mahesh Sahakari Bank Limited,Pune",7906,1064019.062,10700,January,2024,Internet Banking
49,MUFG Bank Ltd.,136331,113352188.9,524,January,2024,Internet Banking
50,Nainital Bank,12750,2156587.714,1648,January,2024,Internet Banking
51,New India Co-Operative Bank Ltd.,6914,415885.2927,1853,January,2024,Internet Banking
52,NKGSB Co-Op. Bank Ltd.,32537,2874499.093,5370,January,2024,Internet Banking
53,North East Small Finance Bank Limited,5356,1173442.229,396,January,2024,Internet Banking
54,NSDL Payments Bank,8905,53217921.2,22,January,2024,Internet Banking
55,Paytm Payments Bank Limited,43384,846519.9778,265,January,2024,Internet Banking
56,Punjab & Sind Bank,135275,23765620.21,23130,January,2024,Internet Banking
57,Punjab National Bank,5669868,1657168849,645696,January,2024,Internet Banking
58,RBL Bank,1181782,238542934.2,114553,January,2024,Internet Banking
59,Saraswat Co-Operative Bank Ltd.,464868,79268723.85,55114,January,2024,Internet Banking
60,SBM Bank India Ltd.,11058,5512202.768,3036,January,2024,Internet Banking
61,Shinhan Bank,10167,6645178.952,3627,January,2024,Internet Banking
62,Shivalik Small Finance Bank Ltd.,28227,3605464.226,1377,January,2024,Internet Banking
63,Societe Generale,688,2646277.875,11,January,2024,Internet Banking
64,South Indian Bank,683078,79023634.62,68975,January,2024,Internet Banking
65,State Bank of India,115622473,20212743830,38192016,January,2024,Internet Banking
66,Suryoday Small Finance Bank,12000,1081225.221,7020,January,2024,Internet Banking
67,SVC Bank Ltd.,124761,19850205.05,36491,January,2024,Internet Banking
68,Tamil Nadu State Co-Op Bank,10503,13236402.45,792,January,2024,Internet Banking
69,Tamilnad Mercantile Bank Ltd.,520505,76729003.26,42684,January,2024,Internet Banking
70,Thane Bharat Sahakari Bank Ltd.,21353,1755883.364,2921,January,2024,Internet Banking
71,The Ahmedabad District Co Operative Bank Ltd.,1838,296474.0485,84,January,2024,Internet Banking
72,"The Akola Janata Commercial Co-Op Bank Ltd.,Akola",1773,316423.8653,526,January,2024,Internet Banking
73,The Jammu And Kashmir Bank Ltd.,481468,63451373.59,152402,January,2024,Internet Banking
74,The Kalupur Commercial Co-Op Bank Ltd.,75138,23623713.13,5411,January,2024,Internet Banking
75,The Kalyan Janata Sahakari Bank Ltd.,6944,717280.7967,742,January,2024,Internet Banking
76,The Karur Vysya Bank Ltd.,973247,174248282.9,169001,January,2024,Internet Banking
77,The Surat Peoples Co-Op Bank Ltd.,14792,5182208.404,511,January,2024,Internet Banking
78,TJSB Sahakari Bank Ltd.,129783,14970307.32,15198,January,2024,Internet Banking
79,UCO Bank,331522,53659297.3,86196,January,2024,Internet Banking
80,Ujjivan Small Finance Bank Limited,72624,21695415.49,20393,January,2024,Internet Banking
81,Union Bank of India,3282256,612690024.6,433906,January,2024,Internet Banking
82,Utkarsh Small Finance Bank Limited,29303,2405166.358,7846,January,2024,Internet Banking
83,Woori Bank,2874,1741624.82,470,January,2024,Internet Banking
